date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
2020-11-19,5955634,35528,167819,605,26197.428571428572,451.2142857142857
2020-11-20,5993923,38289,168370,551,27411.35714285714,469.0
2020-11-21,6026422,32499,168745,375,28323.5,479.35714285714283
2020-11-22,6044893,18471,168939,194,28891.35714285714,484.14285714285717
2020-11-23,6060981,16088,169242,303,29293.214285714286,489.2857142857143
2020-11-24,6091982,31001,169871,629,29732.785714285714,519.8571428571429
2020-11-25,6139750,47768,170522,651,29698.428571428572,527.5
2020-11-26,6177251,37501,171209,687,30011.35714285714,511.64285714285717
2020-11-27,6211228,33977,171720,511,30368.5,515.5714285714286
2020-11-28,6263068,51840,172306,586,31363.214285714286,491.85714285714283
2020-11-29,6287458,24390,172576,270,32103.428571428572,501.14285714285717
2020-11-30,6308547,21089,172863,287,32666.928571428572,506.2857142857143
2020-12-01,6359114,50567,173559,696,33768.07142857143,507.14285714285717
2020-12-02,6408815,49701,174256,697,34907.78571428572,503.0
2020-12-03,6459035,50220,175011,755,35957.21428571428,513.7142857142857
2020-12-04,6505730,46695,175704,693,36557.642857142855,523.8571428571429
2020-12-05,6548785,43055,176365,661,37311.642857142855,544.2857142857143
2020-12-06,6575061,26276,176678,313,37869.142857142855,552.7857142857143
2020-12-07,6595325,20264,177053,375,38167.42857142857,557.9285714285714
2020-12-08,6646243,50918,177893,840,39590.07142857143,573.0
2020-12-09,6699003,52760,178729,836,39946.642857142855,586.2142857142857
2020-12-10,6752170,53167,179498,769,41065.642857142855,592.0714285714286
2020-12-11,6806486,54316,180170,672,42518.42857142857,603.5714285714286
2020-12-12,6849844,43358,180852,682,41912.57142857143,610.4285714285714
2020-12-13,6871524,21680,181130,278,41719.0,611.0
2020-12-14,6896640,25116,181562,432,42006.642857142855,621.3571428571429
2020-12-15,6939350,42710,182523,961,41445.42857142857,640.2857142857143
2020-12-16,7009484,70134,183458,935,42904.92857142857,657.2857142857143
2020-12-17,7079215,69731,184549,1091,44298.57142857143,681.2857142857143
2020-12-18,7131630,52415,185369,820,44707.142857142855,690.3571428571429
2020-12-19,7181687,50057,186074,705,45207.28571428572,693.5
2020-12-20,7207081,25394,186481,407,45144.28571428572,700.2142857142857
2020-12-21,7232015,24934,187007,526,45477.857142857145,711.0
2020-12-22,7287025,55010,187974,967,45770.142857142855,720.0714285714286
2020-12-23,7333610,46585,188933,959,45329.07142857143,728.8571428571429
2020-12-24,7393541,59931,189716,783,45812.21428571428,729.8571428571429
2020-12-25,7416449,22908,190195,479,43568.78571428572,716.0714285714286
2020-12-26,7433637,17188,190502,307,41699.5,689.2857142857143
2020-12-27,7452087,18450,190846,344,41468.78571428572,694.0
2020-12-28,7472320,20233,191275,429,41120.0,693.7857142857143
2020-12-29,7530777,58457,192385,1110,42244.78571428572,704.4285714285714
2020-12-30,7586226,55449,193578,1193,41195.857142857145,722.8571428571429
2020-12-31,7642741,56515,194652,1074,40251.857142857145,721.6428571428571
2021-01-01,7667149,24408,195110,458,38251.357142857145,695.7857142857143
2021-01-02,7682907,15758,195424,314,35801.42857142857,667.8571428571429
2021-01-03,7700114,17207,195717,293,35216.642857142855,659.7142857142857
2021-01-04,7720002,19888,196259,542,34856.21428571428,660.8571428571429
2021-01-05,7776381,56379,197429,1170,34954.0,675.3571428571429
2021-01-06,7839536,63155,198671,1242,36137.57142857143,695.5714285714286
2021-01-07,7926752,87216,200180,1509,38086.5,747.4285714285714
2021-01-08,7978405,51653,201140,960,40139.71428571428,781.7857142857143
2021-01-09,8040299,61894,202309,1169,43333.0,843.3571428571429
2021-01-10,8069972,29673,202777,468,44134.642857142855,852.2142857142857
2021-01-11,8095699,25727,203257,480,44527.07142857143,855.8571428571429
2021-01-12,8159489,63790,204365,1108,44908.0,855.7142857142857
2021-01-13,8219992,60503,205636,1271,45269.0,861.2857142857143
2021-01-14,8287349,67357,206763,1127,46043.42857142857,865.0714285714286
2021-01-15,8356366,69017,207913,1150,49229.78571428572,914.5
2021-01-16,8417662,61296,208957,1044,52482.5,966.6428571428571
2021-01-17,8450615,32953,209506,549,53607.21428571428,984.9285714285714
2021-01-18,8474214,23599,209961,455,53872.28571428572,978.7142857142857
2021-01-19,8535879,61665,211149,1188,54249.857142857145,980.0
2021-01-20,8600089,64210,212487,1338,54325.21428571428,986.8571428571429
2021-01-21,8659097,59008,213801,1314,52310.357142857145,972.9285714285714
2021-01-22,8715478,56381,214898,1097,52648.07142857143,982.7142857142857
2021-01-23,8777207,61729,216098,1200,52636.28571428572,984.9285714285714
2021-01-24,8805455,28248,216688,590,52534.5,993.6428571428571
2021-01-25,8832194,26739,217311,623,52606.78571428572,1003.8571428571429
2021-01-26,8894026,61832,218524,1213,52466.92857142857,1011.3571428571429
2021-01-27,8957381,63355,219804,1280,52670.642857142855,1012.0
2021-01-28,9019060,61679,221185,1381,52265.07142857143,1030.142857142857
2021-01-29,9078660,59600,222302,1117,51592.42857142857,1027.7857142857142
2021-01-30,9137017,58357,223576,1274,51382.5,1044.2142857142858
2021-01-31,9164560,27543,224133,557,50996.07142857143,1044.7857142857142
2021-02-01,9189069,24509,224728,595,51061.07142857143,1054.7857142857142
2021-02-02,9242813,53744,225934,1206,50495.28571428572,1056.0714285714287
2021-02-03,9298683,55870,227182,1248,49899.57142857143,1049.642857142857
2021-02-04,9355423,56740,228409,1227,49737.57142857143,1043.4285714285713
2021-02-05,9406139,50716,229643,1234,49332.92857142857,1053.2142857142858
