estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
PB,16-08-2020,96033,445,2162,24,807.7142857142857,25.0,5654.0,175.0
PB,16-09-2020,114582,679,2659,10,789.8571428571429,20.142857142857142,5529.0,141.0
PB,16-10-2020,128032,576,2977,7,870.2857142857143,20.714285714285715,6092.0,145.0
PB,16-11-2020,139168,622,3211,7,798.5714285714286,15.857142857142858,5590.0,111.0
PB,16-12-2020,156122,1388,3487,18,950.5714285714286,16.571428571428573,6654.0,116.0
PB,17-01-2021,177618,783,3888,8,853.8571428571429,15.571428571428571,5977.0,109.0
PB,17-02-2021,207411,1014,4288,16,786.7142857142857,12.857142857142858,5507.0,90.0
PB,17-03-2020,0,0,0,0,723.1428571428571,9.428571428571429,5062.0,66.0
PB,17-03-2021,241592,1194,5080,44,796.7142857142857,14.285714285714286,5577.0,100.0
PB,17-04-2020,195,30,26,2,718.7142857142857,13.571428571428571,5031.0,95.0
PB,17-04-2021,279170,1377,6414,26,826.5714285714286,16.285714285714285,5786.0,114.0
PB,17-05-2020,4347,284,194,11,668.8571428571429,15.285714285714286,4682.0,107.0
PB,17-06-2020,31712,1584,696,25,783.2857142857143,17.714285714285715,5483.0,124.0
PB,17-07-2020,66347,924,1446,28,770.4285714285714,19.428571428571427,5393.0,136.0
PB,17-08-2020,96223,190,2183,21,797.5714285714286,22.428571428571427,5583.0,157.0
PB,17-09-2020,115359,777,2670,11,738.0,17.714285714285715,5166.0,124.0
PB,17-10-2020,128416,384,2985,8,788.5714285714286,18.571428571428573,5520.0,130.0
PB,17-11-2020,139776,608,3216,5,678.7142857142857,15.571428571428571,4751.0,109.0
PB,17-12-2020,157396,1274,3507,20,820.1428571428571,16.857142857142858,5741.0,118.0
PB,18-01-2021,177843,225,3902,14,626.0,15.285714285714286,4382.0,107.0
PB,18-02-2021,208742,1331,4306,18,684.1428571428571,13.857142857142858,4789.0,97.0
PB,18-03-2020,0,0,0,0,657.0,10.857142857142858,4599.0,76.0
PB,18-03-2021,242995,1403,5123,43,746.4285714285714,15.428571428571429,5225.0,108.0
PB,18-04-2020,205,10,27,1,693.0,14.428571428571429,4851.0,101.0
PB,18-04-2021,280063,893,6444,30,733.7142857142857,18.0,5136.0,126.0
PB,18-05-2020,4786,439,207,13,614.4285714285714,17.0,4301.0,119.0
PB,18-06-2020,31760,48,709,13,589.1428571428571,16.857142857142858,4124.0,118.0
PB,18-07-2020,66971,624,1477,31,488.14285714285717,18.714285714285715,3417.0,131.0
PB,18-08-2020,97497,1274,2203,20,670.1428571428571,21.571428571428573,4691.0,151.0
PB,18-09-2020,115966,607,2684,14,556.4285714285714,17.428571428571427,3895.0,122.0
PB,18-10-2020,128435,19,2993,8,557.7142857142857,18.428571428571427,3904.0,129.0
PB,18-11-2020,140355,579,3223,7,512.8571428571429,15.142857142857142,3590.0,106.0
PB,18-12-2020,158449,1053,3523,16,600.5714285714286,15.571428571428571,4204.0,109.0
PB,19-01-2021,178081,238,3912,10,627.7142857142857,15.142857142857142,4394.0,106.0
PB,19-02-2021,209933,1191,4328,22,708.7142857142857,13.857142857142858,4961.0,97.0
PB,19-03-2020,0,0,0,0,526.7142857142857,11.0,3687.0,77.0
PB,19-03-2021,244264,1269,5167,44,621.2857142857143,15.285714285714286,4349.0,107.0
PB,19-04-2020,236,31,29,2,623.0,14.428571428571429,4361.0,101.0
PB,19-04-2021,280967,904,6478,34,669.4285714285714,18.285714285714285,4686.0,128.0
PB,19-05-2020,5300,514,219,12,592.4285714285714,17.714285714285715,4147.0,124.0
PB,19-06-2020,35093,3333,724,15,1034.5714285714287,18.428571428571427,7242.0,129.0
PB,19-07-2020,67382,411,1486,9,923.1428571428571,16.571428571428573,6462.0,116.0
PB,19-08-2020,98494,997,2223,20,1065.5714285714287,19.428571428571427,7459.0,136.0
PB,19-09-2020,116588,622,2695,11,973.1428571428571,14.714285714285714,6812.0,103.0
PB,19-10-2020,128549,114,3001,8,985.0,15.571428571428571,6895.0,109.0
PB,19-11-2020,140982,627,3232,9,945.4285714285714,12.0,6618.0,84.0
PB,19-12-2020,159109,660,3529,6,966.2857142857143,11.142857142857142,6764.0,78.0
PB,20-01-2021,179353,1272,3926,14,671.8571428571429,11.0,4703.0,77.0
PB,20-02-2021,211282,1349,4344,16,805.8571428571429,12.0,5641.0,84.0
PB,20-03-2020,0,0,0,0,663.4285714285714,9.142857142857142,4644.0,64.0
PB,20-03-2021,245564,1300,5212,45,760.2857142857143,14.0,5322.0,98.0
PB,20-04-2020,245,9,32,3,745.2857142857143,13.285714285714286,5217.0,93.0
PB,20-04-2021,282039,1072,6520,42,808.8571428571429,18.0,5662.0,126.0
PB,20-05-2020,5838,538,230,11,791.4285714285714,18.714285714285715,5540.0,131.0
PB,20-06-2020,36521,1428,743,19,813.7142857142857,19.428571428571427,5696.0,136.0
PB,20-07-2020,67680,298,1517,31,663.5714285714286,21.571428571428573,4645.0,151.0
PB,20-08-2020,99445,951,2244,21,799.4285714285714,24.571428571428573,5596.0,172.0
PB,20-09-2020,116736,148,2707,12,634.8571428571429,19.857142857142858,4444.0,139.0
PB,20-10-2020,129045,496,3010,9,704.4285714285714,20.714285714285715,4931.0,145.0
PB,20-11-2020,141615,633,3236,4,641.7142857142857,15.285714285714286,4492.0,107.0
PB,20-12-2020,159436,327,3539,10,611.5714285714286,15.142857142857142,4281.0,106.0
PB,21-01-2021,180464,1111,3939,13,566.2857142857143,14.285714285714286,3964.0,100.0
PB,21-02-2021,212286,1004,4356,12,667.1428571428571,11.571428571428571,4670.0,81.0
PB,21-03-2020,0,0,0,0,531.2857142857143,8.571428571428571,3719.0,60.0
PB,21-03-2021,246382,818,5243,31,627.0,11.285714285714286,4389.0,79.0
PB,21-04-2020,263,18,33,1,558.7142857142857,10.142857142857142,3911.0,71.0
PB,21-04-2021,283147,1108,6549,29,626.5714285714286,13.714285714285714,4386.0,96.0
PB,21-05-2020,6238,400,245,15,637.0,14.428571428571429,4459.0,101.0
PB,21-06-2020,36784,263,766,23,515.8571428571429,15.857142857142858,3611.0,111.0
PB,21-07-2020,68844,1164,1558,41,538.7142857142857,20.0,3771.0,140.0
PB,21-08-2020,100290,845,2268,24,659.4285714285714,23.428571428571427,4616.0,164.0
PB,21-09-2020,116879,143,2719,12,563.0,20.714285714285715,3941.0,145.0
PB,21-10-2020,129414,369,3020,10,613.1428571428571,22.0,4292.0,154.0
PB,21-11-2020,142265,650,3244,8,547.7142857142857,19.0,3834.0,133.0
PB,21-12-2020,159639,203,3552,13,519.5714285714286,18.714285714285715,3637.0,131.0
PB,22-01-2021,181773,1309,3955,16,669.0,17.714285714285715,4683.0,124.0
PB,22-02-2021,213227,941,4379,23,637.1428571428571,15.142857142857142,4460.0,106.0
PB,22-03-2020,0,0,0,0,516.4285714285714,11.714285714285714,3615.0,82.0
PB,22-03-2021,247312,930,5272,29,628.8571428571429,14.142857142857142,4402.0,99.0
PB,22-04-2020,301,38,39,6,581.5714285714286,13.571428571428571,4071.0,95.0
PB,22-04-2021,284189,1042,6576,27,637.5714285714286,16.285714285714285,4463.0,114.0
PB,22-05-2020,6882,644,248,3,700.5714285714286,14.857142857142858,4904.0,104.0
PB,22-06-2020,37253,469,784,18,580.5714285714286,15.142857142857142,4064.0,106.0
PB,22-07-2020,70972,2128,1581,23,750.1428571428571,15.142857142857142,5251.0,106.0
PB,22-08-2020,100970,680,2288,20,847.2857142857143,18.0,5931.0,126.0
PB,22-09-2020,117495,616,2729,10,802.4285714285714,15.285714285714286,5617.0,107.0
PB,22-10-2020,129731,317,3029,9,842.2857142857143,15.714285714285714,5896.0,110.0
PB,22-11-2020,142457,192,3248,4,720.8571428571429,12.428571428571429,5046.0,87.0
PB,22-12-2020,160611,972,3563,11,767.7142857142857,13.571428571428571,5374.0,95.0
PB,23-01-2021,182907,1134,3968,13,862.7142857142857,12.857142857142858,6039.0,90.0
PB,23-02-2021,214207,980,4404,25,698.7142857142857,13.142857142857142,4891.0,92.0
PB,23-03-2020,1,0,0,0,601.5714285714286,10.285714285714286,4211.0,72.0
PB,23-03-2021,248452,1140,5313,41,676.4285714285714,14.714285714285714,4735.0,103.0
PB,23-04-2020,345,44,40,1,637.4285714285714,13.571428571428571,4462.0,95.0
PB,23-04-2021,285323,1134,6607,31,772.0,17.428571428571427,5404.0,122.0
