,index,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
40,40,2020-04-05,11130,852,486,54,982.0,50.0,6874.0,6874.0
41,41,2020-04-06,12056,926,553,67,1068.142857142857,56.285714285714285,7477.0,7477.0
42,42,2020-04-07,13717,1661,667,114,1142.857142857143,66.57142857142857,8000.0,8000.0
43,43,2020-04-08,15927,2210,800,133,1299.0,79.85714285714286,9093.0,9093.0
44,44,2020-04-09,17857,1930,941,141,1421.0,91.71428571428571,9947.0,9947.0
45,45,2020-04-10,19638,1781,1056,115,1511.7142857142858,99.57142857142857,10582.0,10582.0
46,46,2020-04-11,20727,1089,1124,68,1492.7142857142858,98.85714285714286,10449.0,10449.0
47,47,2020-04-12,22169,1442,1223,99,1577.0,105.28571428571429,11039.0,11039.0
48,48,2020-04-13,23430,1261,1328,105,1624.857142857143,110.71428571428571,11374.0,11374.0
49,49,2020-04-14,25262,1832,1532,204,1649.2857142857142,123.57142857142857,11545.0,11545.0
50,50,2020-04-15,28320,3058,1736,204,1770.4285714285713,133.71428571428572,12393.0,12393.0
51,51,2020-04-16,30425,2105,1924,188,1795.4285714285713,140.42857142857142,12568.0,12568.0
52,52,2020-04-17,33682,3257,2141,217,2006.2857142857142,155.0,14044.0,14044.0
53,53,2020-04-18,36599,2917,2347,206,2267.4285714285716,174.71428571428572,15872.0,15872.0
54,54,2020-04-19,38654,2055,2462,115,2355.0,177.0,16485.0,16485.0
55,55,2020-04-20,40581,1927,2575,113,2450.1428571428573,178.14285714285714,17151.0,17151.0
56,56,2020-04-21,43079,2498,2741,166,2545.285714285714,172.71428571428572,17817.0,17817.0
57,57,2020-04-22,45757,2678,2906,165,2491.0,167.14285714285714,17437.0,17437.0
58,58,2020-04-23,49492,3735,3313,407,2723.8571428571427,198.42857142857142,19067.0,19067.0
59,59,2020-04-24,52995,3503,3670,357,2759.0,218.42857142857142,19313.0,19313.0
60,60,2020-04-25,58509,5514,4016,346,3130.0,238.42857142857142,21910.0,21910.0
61,61,2020-04-26,61888,3379,4205,189,3319.1428571428573,249.0,23234.0,23234.0
62,62,2020-04-27,66501,4613,4543,338,3702.8571428571427,281.14285714285717,25920.0,25920.0
63,63,2020-04-28,71886,5385,5017,474,4115.285714285715,325.14285714285717,28807.0,28807.0
64,64,2020-04-29,78162,6276,5466,449,4629.285714285715,365.7142857142857,32405.0,32405.0
65,65,2020-04-30,85380,7218,5901,435,5126.857142857143,369.7142857142857,35888.0,35888.0
66,66,2020-05-01,91299,5919,6329,428,5472.0,379.85714285714283,38304.0,38304.0
67,67,2020-05-02,96396,5097,6724,395,5412.428571428572,386.85714285714283,37887.0,37887.0
68,68,2020-05-03,101147,4751,7025,301,5608.428571428572,402.85714285714283,39259.0,39259.0
69,69,2020-05-04,107780,6633,7321,296,5897.0,396.85714285714283,41279.0,41279.0
70,70,2020-05-05,114715,6935,7921,600,6118.428571428572,414.85714285714283,42829.0,42829.0
71,71,2020-05-06,125218,10503,8535,614,6722.285714285715,438.42857142857144,47056.0,47056.0
72,72,2020-05-07,135106,9888,9146,611,7103.714285714285,463.57142857142856,49726.0,49726.0
73,73,2020-05-08,145328,10222,9895,749,7718.428571428572,509.42857142857144,54029.0,54029.0
74,74,2020-05-09,155939,10611,10627,732,8506.142857142857,557.5714285714286,59543.0,59543.0
75,75,2020-05-10,162699,6760,11123,496,8793.142857142857,585.4285714285714,61552.0,61552.0
76,76,2020-05-11,168331,5632,11519,396,8650.142857142857,599.7142857142857,60551.0,60551.0
77,77,2020-05-12,177589,9258,12400,881,8982.0,639.8571428571429,62874.0,62874.0
78,78,2020-05-13,188974,11385,13149,749,9108.0,659.1428571428571,63756.0,63756.0
79,79,2020-05-14,202918,13944,13993,844,9687.42857142857,692.4285714285714,67812.0,67812.0
80,80,2020-05-15,218223,15305,14817,824,10413.57142857143,703.1428571428571,72895.0,72895.0
81,81,2020-05-16,233142,14919,15633,816,11029.0,715.1428571428571,77203.0,77203.0
82,82,2020-05-17,241080,7938,16118,485,11197.285714285714,713.5714285714286,78381.0,78381.0
83,83,2020-05-18,254220,13140,16792,674,12269.857142857143,753.2857142857143,85889.0,85889.0
84,84,2020-05-19,271628,17408,17971,1179,13434.142857142857,795.8571428571429,94039.0,94039.0
85,85,2020-05-20,291579,19951,18859,888,14657.857142857143,815.7142857142857,102605.0,102605.0
86,86,2020-05-21,310087,18508,20047,1188,15309.857142857143,864.8571428571429,107169.0,107169.0
87,87,2020-05-22,330890,20803,21046,999,16095.285714285714,889.8571428571429,112667.0,112667.0
88,88,2020-05-23,347398,16508,22013,967,16322.285714285714,911.4285714285714,114256.0,114256.0
89,89,2020-05-24,363211,15813,22666,653,17447.285714285714,935.4285714285714,122131.0,122131.0
90,90,2020-05-25,374898,11687,23473,807,17239.714285714286,954.4285714285714,120678.0,120678.0
91,91,2020-05-26,391222,16324,24512,1039,17084.85714285714,934.4285714285714,119594.0,119594.0
92,92,2020-05-27,411821,20599,25598,1086,17177.428571428572,962.7142857142857,120242.0,120242.0
93,93,2020-05-28,438238,26417,26754,1156,18307.285714285714,958.1428571428571,128151.0,128151.0
94,94,2020-05-29,465166,26928,27878,1124,19182.285714285714,976.0,134276.0,134276.0
95,95,2020-05-30,498440,33274,28834,956,21577.428571428572,974.4285714285714,151042.0,151042.0
96,96,2020-05-31,514200,15760,29314,480,21569.85714285714,949.7142857142857,150989.0,150989.0
97,97,2020-06-01,526447,12247,29937,623,21649.85714285714,923.4285714285714,151549.0,151549.0
98,98,2020-06-02,555383,28936,31199,1262,23451.571428571428,955.2857142857143,164161.0,164161.0
99,99,2020-06-03,584016,28633,32548,1349,24599.285714285714,992.8571428571429,172195.0,172195.0
100,100,2020-06-04,614941,30925,34021,1473,25243.285714285714,1038.142857142857,176703.0,176703.0
101,101,2020-06-05,645771,30830,35026,1005,25800.714285714286,1021.1428571428571,180605.0,180605.0
102,102,2020-06-06,672846,27075,35930,904,24915.14285714286,1013.7142857142857,174406.0,174406.0
103,103,2020-06-07,691758,18912,36455,525,25365.428571428572,1020.1428571428571,177558.0,177558.0
104,104,2020-06-08,707412,15654,37134,679,25852.14285714286,1028.142857142857,180965.0,180965.0
105,105,2020-06-09,739503,32091,38406,1272,26302.85714285714,1029.5714285714287,184120.0,184120.0
106,106,2020-06-10,772416,32913,39680,1274,26914.285714285714,1018.8571428571429,188400.0,188400.0
107,107,2020-06-11,802828,30412,40919,1239,26841.0,985.4285714285714,187887.0,187887.0
108,108,2020-06-12,828810,25982,41828,909,26148.428571428572,971.7142857142857,183039.0,183039.0
109,109,2020-06-13,850514,21704,42720,892,25381.14285714286,970.0,177668.0,177668.0
110,110,2020-06-14,867624,17110,43332,612,25123.714285714286,982.4285714285714,175866.0,175866.0
111,111,2020-06-15,888271,20647,43959,627,25837.0,975.0,180859.0,180859.0
112,112,2020-06-16,923189,34918,45241,1282,26240.85714285714,976.4285714285714,183686.0,183686.0
113,113,2020-06-17,955377,32188,46510,1269,26137.285714285714,975.7142857142857,182961.0,182961.0
114,114,2020-06-18,978142,22765,47748,1238,25044.85714285714,975.5714285714286,175314.0,175314.0
115,115,2020-06-19,1032913,54771,48954,1206,29157.571428571428,1018.0,204103.0,204103.0
116,116,2020-06-20,1067579,34666,49976,1022,31009.285714285714,1036.5714285714287,217065.0,217065.0
117,117,2020-06-21,1085038,17459,50617,641,31059.14285714286,1040.7142857142858,217414.0,217414.0
118,118,2020-06-22,1106470,21432,51271,654,31171.285714285714,1044.5714285714287,218199.0,218199.0
119,119,2020-06-23,1145906,39436,52645,1374,31816.714285714286,1057.7142857142858,222717.0,222717.0
120,120,2020-06-24,1188631,42725,53830,1185,33322.0,1045.7142857142858,233254.0,233254.0
121,121,2020-06-25,1228114,39483,54971,1141,35710.28571428572,1031.857142857143,249972.0,249972.0
122,122,2020-06-26,1274974,46860,55961,990,34580.142857142855,1001.0,242061.0,242061.0
123,123,2020-06-27,1313667,38693,57070,1109,35155.42857142857,1013.4285714285714,246088.0,246088.0
124,124,2020-06-28,1344143,30476,57622,552,37015.0,1000.7142857142857,259105.0,259105.0
125,125,2020-06-29,1368195,24052,58314,692,37389.28571428572,1006.1428571428571,261725.0,261725.0
126,126,2020-06-30,1402041,33846,59594,1280,36590.71428571428,992.7142857142857,256135.0,256135.0
127,127,2020-07-01,1448753,46712,60632,1038,37160.28571428572,971.7142857142857,260122.0,260122.0
128,128,2020-07-02,1496858,48105,61884,1252,38392.0,987.5714285714286,268744.0,268744.0
129,129,2020-07-03,1539081,42223,63174,1290,37729.57142857143,1030.4285714285713,264107.0,264107.0
130,130,2020-07-04,1577004,37923,64265,1091,37619.57142857143,1027.857142857143,263337.0,263337.0
131,131,2020-07-05,1603055,26051,64867,602,36987.42857142857,1035.0,258912.0,258912.0
132,132,2020-07-06,1623284,20229,65487,620,36441.28571428572,1024.7142857142858,255089.0,255089.0
133,133,2020-07-07,1668589,45305,66741,1254,38078.28571428572,1021.0,266548.0,266548.0
134,134,2020-07-08,1713160,44571,67964,1223,37772.42857142857,1047.4285714285713,264407.0,264407.0
135,135,2020-07-09,1755779,42619,69184,1220,36988.71428571428,1042.857142857143,258921.0,258921.0
136,136,2020-07-10,1800827,45048,70398,1214,37392.28571428572,1032.0,261746.0,261746.0
137,137,2020-07-11,1839850,39023,71469,1071,37549.42857142857,1029.142857142857,262846.0,262846.0
138,138,2020-07-12,1864681,24831,72100,631,37375.142857142855,1033.2857142857142,261626.0,261626.0
139,139,2020-07-13,1884967,20286,72833,733,37383.28571428572,1049.4285714285713,261683.0,261683.0
140,140,2020-07-14,1926824,41857,74133,1300,36890.71428571428,1056.0,258235.0,258235.0
141,141,2020-07-15,1966748,39924,75366,1233,36226.857142857145,1057.4285714285713,253588.0,253588.0
142,142,2020-07-16,2012151,45403,76688,1322,36624.57142857143,1072.0,256372.0,256372.0
143,143,2020-07-17,2046328,34177,77851,1163,35071.57142857143,1064.7142857142858,245501.0,245501.0
144,144,2020-07-18,2074860,28532,78772,921,33572.857142857145,1043.2857142857142,235010.0,235010.0
145,145,2020-07-19,2098389,23529,79488,716,33386.857142857145,1055.4285714285713,233708.0,233708.0
146,146,2020-07-20,2118646,20257,80120,632,33382.71428571428,1041.0,233679.0,233679.0
147,147,2020-07-21,2159654,41008,81487,1367,33261.42857142857,1050.5714285714287,232830.0,232830.0
148,148,2020-07-22,2227514,67860,82771,1284,37252.28571428572,1057.857142857143,260766.0,260766.0
149,149,2020-07-23,2287475,59961,84082,1311,39332.0,1056.2857142857142,275324.0,275324.0
150,150,2020-07-24,2343366,55891,85238,1156,42434.0,1055.2857142857142,297038.0,297038.0
151,151,2020-07-25,2394513,51147,86449,1211,45664.71428571428,1096.7142857142858,319653.0,319653.0
152,152,2020-07-26,2419091,24578,87004,555,45814.57142857143,1073.7142857142858,320702.0,320702.0
153,153,2020-07-27,2442375,23284,87618,614,46247.0,1071.142857142857,323729.0,323729.0
154,154,2020-07-28,2483191,40816,88539,921,46219.57142857143,1007.4285714285714,323537.0,323537.0
155,155,2020-07-29,2552265,69074,90134,1595,46393.0,1051.857142857143,324751.0,324751.0
156,156,2020-07-30,2610102,57837,91263,1129,46089.57142857143,1025.857142857143,322627.0,322627.0
157,157,2020-07-31,2662485,52383,92475,1212,45588.42857142857,1033.857142857143,319119.0,319119.0
158,158,2020-08-01,2707877,45392,93563,1088,44766.28571428572,1016.2857142857143,313364.0,313364.0
159,159,2020-08-02,2733677,25800,94104,541,44940.857142857145,1014.2857142857143,314586.0,314586.0
160,160,2020-08-03,2750318,16641,94665,561,43991.857142857145,1006.7142857142857,307943.0,307943.0
161,161,2020-08-04,2801921,51603,95819,1154,45532.857142857145,1040.0,318730.0,318730.0
162,162,2020-08-05,2857597,55676,97240,1421,43618.857142857145,1015.1428571428571,305332.0,305332.0
163,163,2020-08-06,2912212,54615,98493,1253,43158.57142857143,1032.857142857143,302110.0,302110.0
164,164,2020-08-07,2962442,50230,99572,1079,42851.0,1013.8571428571429,299957.0,299957.0
165,165,2020-08-08,3012412,49970,100477,905,43505.0,987.7142857142857,304535.0,304535.0
166,166,2020-08-09,3035422,23010,101049,572,43106.42857142857,992.1428571428571,301745.0,301745.0
167,167,2020-08-10,3057470,22048,101752,703,43878.857142857145,1012.4285714285714,307152.0,307152.0
168,168,2020-08-11,3109630,52160,103026,1274,43958.42857142857,1029.5714285714287,307709.0,307709.0
169,169,2020-08-12,3164785,55155,104201,1175,43884.0,994.4285714285714,307188.0,307188.0
170,170,2020-08-13,3224876,60091,105463,1262,44666.28571428572,995.7142857142857,312664.0,312664.0
171,171,2020-08-14,3275520,50644,106523,1060,44725.42857142857,993.0,313078.0,313078.0
172,172,2020-08-15,3317096,41576,107232,709,43526.28571428572,965.0,304684.0,304684.0
173,173,2020-08-16,3340197,23101,107852,620,43539.28571428572,971.8571428571429,304775.0,304775.0
174,174,2020-08-17,3359570,19373,108536,684,43157.142857142855,969.1428571428571,302100.0,302100.0
175,175,2020-08-18,3407354,47784,109888,1352,42532.0,980.2857142857143,297724.0,297724.0
176,176,2020-08-19,3456652,49298,111100,1212,41695.28571428572,985.5714285714286,291867.0,291867.0
177,177,2020-08-20,3501975,45323,112304,1204,39585.57142857143,977.2857142857143,277099.0,277099.0
178,178,2020-08-21,3532330,30355,113358,1054,36687.142857142855,976.4285714285714,256810.0,256810.0
179,179,2020-08-22,3582362,50032,114250,892,37895.142857142855,1002.5714285714286,265266.0,265266.0
180,180,2020-08-23,3605783,23421,114744,494,37940.857142857145,984.5714285714286,265586.0,265586.0
181,181,2020-08-24,3622861,17078,115309,565,37613.0,967.5714285714286,263291.0,263291.0
182,182,2020-08-25,3669995,47134,116580,1271,37520.142857142855,956.0,262641.0,262641.0
183,183,2020-08-26,3717156,47161,117665,1085,37214.857142857145,937.8571428571429,260504.0,260504.0
184,184,2020-08-27,3761391,44235,118649,984,37059.42857142857,906.4285714285714,259416.0,259416.0
185,185,2020-08-28,3804803,43412,119504,855,38924.71428571428,878.0,272473.0,272473.0
186,186,2020-08-29,3846153,41350,120462,958,37684.42857142857,887.4285714285714,263791.0,263791.0
187,187,2020-08-30,3862311,16158,120828,366,36646.857142857145,869.1428571428571,256528.0,256528.0
188,188,2020-08-31,3908272,45961,121381,553,40773.0,867.4285714285714,285411.0,285411.0
189,189,2020-09-01,3950931,42659,122596,1215,40133.71428571428,859.4285714285714,280936.0,280936.0
190,190,2020-09-02,3997865,46934,123780,1184,40101.28571428572,873.5714285714286,280709.0,280709.0
191,191,2020-09-03,4041638,43773,124614,834,40035.28571428572,852.1428571428571,280247.0,280247.0
192,192,2020-09-04,4092832,51194,125521,907,41147.0,859.5714285714286,288029.0,288029.0
193,193,2020-09-05,4123000,30168,126203,682,39549.57142857143,820.1428571428571,276847.0,276847.0
194,194,2020-09-06,4137521,14521,126650,447,39315.71428571428,831.7142857142857,275210.0,275210.0
195,195,2020-09-07,4147794,10273,126960,310,34217.42857142857,797.0,239522.0,239522.0
196,196,2020-09-08,4162073,14279,127464,504,30163.14285714286,695.4285714285714,211142.0,211142.0
197,197,2020-09-09,4197889,35816,128539,1075,28574.85714285714,679.8571428571429,200024.0,200024.0
198,198,2020-09-10,4238446,40557,129522,983,28115.428571428572,701.1428571428571,196808.0,196808.0
199,199,2020-09-11,4282164,43718,130396,874,27047.428571428572,696.4285714285714,189332.0,189332.0
200,200,2020-09-12,4315687,33523,131210,814,27526.714285714286,715.2857142857143,192687.0,192687.0
201,201,2020-09-13,4330455,14768,131625,415,27562.0,710.7142857142857,192934.0,192934.0
202,202,2020-09-14,4345610,15155,132006,381,28259.428571428572,720.8571428571429,197816.0,197816.0
203,203,2020-09-15,4382263,36653,133119,1113,31455.714285714286,807.8571428571429,220190.0,220190.0
204,204,2020-09-16,4419083,36820,134106,987,31599.14285714286,795.2857142857143,221194.0,221194.0
205,205,2020-09-17,4455386,36303,134935,829,30991.428571428572,773.2857142857143,216940.0,216940.0
206,206,2020-09-18,4495183,39797,135793,858,30431.285714285714,771.0,213019.0,213019.0
207,207,2020-09-19,4528240,33057,136532,739,30364.714285714286,760.2857142857143,212553.0,212553.0
208,208,2020-09-20,4544629,16389,136895,363,30596.285714285714,752.8571428571429,214174.0,214174.0
209,209,2020-09-21,4558068,13439,137272,377,30351.14285714286,752.2857142857143,212458.0,212458.0
210,210,2020-09-22,4591604,33536,138108,836,29905.85714285714,712.7142857142857,209341.0,209341.0
211,211,2020-09-23,4624885,33281,138977,869,29400.285714285714,695.8571428571429,205802.0,205802.0
212,212,2020-09-24,4657702,32817,139808,831,28902.285714285714,696.1428571428571,202316.0,202316.0
213,213,2020-09-25,4689613,31911,140537,729,27775.714285714286,677.7142857142857,194430.0,194430.0
214,214,2020-09-26,4717991,28378,141406,869,27107.285714285714,696.2857142857143,189751.0,189751.0
215,215,2020-09-27,4732309,14318,141741,335,26811.428571428572,692.2857142857143,187680.0,187680.0
216,216,2020-09-28,4745464,13155,142058,317,26770.85714285714,683.7142857142857,187396.0,187396.0
217,217,2020-09-29,4777522,32058,142921,863,26559.714285714286,687.5714285714286,185918.0,185918.0
218,218,2020-09-30,4810935,33413,143952,1031,26578.571428571428,710.7142857142857,186050.0,186050.0
219,219,2020-10-01,4847092,36157,144680,728,27055.714285714286,696.0,189390.0,189390.0
220,220,2020-10-02,4880523,33431,145388,708,27272.85714285714,693.0,190910.0,190910.0
221,221,2020-10-03,4906833,26310,145987,599,26977.428571428572,654.4285714285714,188842.0,188842.0
222,222,2020-10-04,4915289,8456,146352,365,26140.0,658.7142857142857,182980.0,182980.0
223,223,2020-10-05,4927235,11946,146675,323,25967.285714285714,659.5714285714286,181771.0,181771.0
224,224,2020-10-06,4969141,41906,147494,819,27374.14285714286,653.2857142857143,191619.0,191619.0
225,225,2020-10-07,5000694,31553,148228,734,27108.428571428572,610.8571428571429,189759.0,189759.0
226,226,2020-10-08,5028444,27750,148957,729,25907.428571428572,611.0,181352.0,181352.0
227,227,2020-10-09,5055888,27444,149639,682,25052.14285714286,607.2857142857143,175365.0,175365.0
228,228,2020-10-10,5082637,26749,150198,559,25114.85714285714,601.5714285714286,175804.0,175804.0
229,229,2020-10-11,5094979,12342,150488,290,25670.0,590.8571428571429,179690.0,179690.0
230,230,2020-10-12,5103408,8429,150689,201,25167.571428571428,573.4285714285714,176173.0,176173.0
231,231,2020-10-13,5113628,10220,150998,309,20641.0,500.57142857142856,144487.0,144487.0
232,232,2020-10-14,5140863,27235,151747,749,20024.14285714286,502.7142857142857,140169.0,140169.0
233,233,2020-10-15,5169386,28523,152460,713,20134.571428571428,500.42857142857144,140942.0,140942.0
234,234,2020-10-16,5200300,30914,153214,754,20630.285714285714,510.7142857142857,144412.0,144412.0
235,235,2020-10-17,5224362,24062,153675,461,20246.428571428572,496.7142857142857,141725.0,141725.0
236,236,2020-10-18,5235344,10982,153905,230,20052.14285714286,488.14285714285717,140365.0,140365.0
237,237,2020-10-19,5250727,15383,154176,271,21045.571428571428,498.14285714285717,147319.0,147319.0
238,238,2020-10-20,5273954,23227,154837,661,22903.714285714286,548.4285714285714,160326.0,160326.0
239,239,2020-10-21,5298772,24818,155403,566,22558.428571428572,522.2857142857143,157909.0,157909.0
240,240,2020-10-22,5323630,24858,155900,497,22034.85714285714,491.42857142857144,154244.0,154244.0
241,241,2020-10-23,5353656,30026,156471,571,21908.0,465.2857142857143,153356.0,153356.0
242,242,2020-10-24,5380635,26979,156903,432,22324.714285714286,461.14285714285717,156273.0,156273.0
243,243,2020-10-25,5394128,13493,157134,231,22683.428571428572,461.2857142857143,158784.0,158784.0
244,244,2020-10-26,5409854,15726,157397,263,22732.428571428572,460.14285714285717,159127.0,159127.0
245,245,2020-10-27,5439641,29787,157946,549,23669.571428571428,444.14285714285717,165687.0,165687.0
246,246,2020-10-28,5468270,28629,158456,510,24214.0,436.14285714285717,169498.0,169498.0
247,247,2020-10-29,5494376,26106,158969,513,24392.285714285714,438.42857142857144,170746.0,170746.0
248,248,2020-10-30,5516658,22282,159477,508,23286.0,429.42857142857144,163002.0,163002.0
249,249,2020-10-31,5535605,18947,159884,407,22138.571428571428,425.85714285714283,154970.0,154970.0
250,250,2020-11-01,5545705,10100,160074,190,21653.85714285714,420.0,151577.0,151577.0
251,251,2020-11-02,5554206,8501,160253,179,20621.714285714286,408.0,144352.0,144352.0
252,252,2020-11-03,5566049,11843,160496,243,18058.285714285714,364.2857142857143,126408.0,126408.0
253,253,2020-11-04,5590025,23976,161106,610,17393.571428571428,378.57142857142856,121755.0,121755.0
254,254,2020-11-05,5612319,22294,161736,630,16849.0,395.2857142857143,117943.0,117943.0
255,255,2020-11-06,5633747,21428,162038,302,16727.0,365.85714285714283,117089.0,117089.0
256,256,2020-11-07,5653561,19814,162269,231,16850.85714285714,340.7142857142857,117956.0,117956.0
257,257,2020-11-08,5664115,10554,162397,128,16915.714285714286,331.85714285714283,118410.0,118410.0
258,258,2020-11-09,5675032,10917,162628,231,17260.85714285714,339.2857142857143,120826.0,120826.0
259,259,2020-11-10,5700044,25012,162829,201,19142.14285714286,333.2857142857143,133995.0,133995.0
260,260,2020-11-11,5748375,48331,163373,544,22621.428571428572,323.85714285714283,158350.0,158350.0
261,261,2020-11-12,5781582,33207,164281,908,24180.428571428572,363.57142857142856,169263.0,169263.0
262,262,2020-11-13,5810652,29070,164737,456,25272.14285714286,385.57142857142856,176905.0,176905.0
263,263,2020-11-14,5848959,38307,165658,921,27914.0,484.14285714285717,195398.0,195398.0
264,264,2020-11-15,5863093,14134,165798,140,28425.428571428572,485.85714285714283,198978.0,198978.0
265,265,2020-11-16,5876464,13371,166014,216,28776.0,483.7142857142857,201432.0,201432.0
266,266,2020-11-17,5911758,35294,166699,685,30244.85714285714,552.8571428571429,211714.0,211714.0
267,267,2020-11-18,5945849,34091,167455,756,28210.571428571428,583.1428571428571,197474.0,197474.0
268,268,2020-11-19,5981767,35918,168061,606,28597.85714285714,540.0,200185.0,200185.0
269,269,2020-11-20,6020164,38397,168613,552,29930.285714285714,553.7142857142857,209512.0,209512.0
270,270,2020-11-21,6052786,32622,168989,376,29118.14285714286,475.85714285714283,203827.0,203827.0
271,271,2020-11-22,6071401,18615,169183,194,29758.285714285714,483.57142857142856,208308.0,208308.0
272,272,2020-11-23,6087608,16207,169485,302,30163.428571428572,495.85714285714283,211144.0,211144.0
273,273,2020-11-24,6118708,31100,170115,630,29564.285714285714,488.0,206950.0,206950.0
274,274,2020-11-25,6166606,47898,170769,654,31536.714285714286,473.42857142857144,220757.0,220757.0
275,275,2020-11-26,6204220,37614,171460,691,31779.0,485.57142857142856,222453.0,222453.0
276,276,2020-11-27,6238350,34130,171974,514,31169.428571428572,480.14285714285717,218186.0,218186.0
277,277,2020-11-28,6290272,51922,172561,587,33926.57142857143,510.2857142857143,237486.0,237486.0
278,278,2020-11-29,6314740,24468,172833,272,34762.71428571428,521.4285714285714,243339.0,243339.0
279,279,2020-11-30,6335878,21138,173120,287,35467.142857142855,519.2857142857143,248270.0,248270.0
280,280,2020-12-01,6386787,50909,173817,697,38297.0,528.8571428571429,268079.0,268079.0
281,281,2020-12-02,6436650,49863,174515,698,38577.71428571428,535.1428571428571,270044.0,270044.0
282,282,2020-12-03,6487084,50434,175270,755,40409.142857142855,544.2857142857143,282864.0,282864.0
283,283,2020-12-04,6533968,46884,175964,694,42231.142857142855,570.0,295618.0,295618.0
284,284,2020-12-05,6577177,43209,176628,664,40986.42857142857,581.0,286905.0,286905.0
285,285,2020-12-06,6603540,26363,176941,313,41257.142857142855,586.8571428571429,288800.0,288800.0
286,286,2020-12-07,6623911,20371,177317,376,41147.57142857143,599.5714285714286,288033.0,288033.0
287,287,2020-12-08,6674999,51088,178159,842,41173.142857142855,620.2857142857143,288212.0,288212.0
288,288,2020-12-09,6728452,53453,178995,836,41686.0,640.0,291802.0,291802.0
289,289,2020-12-10,6781799,53347,179765,770,42102.142857142855,642.1428571428571,294715.0,294715.0
290,290,2020-12-11,6836227,54428,180437,672,43179.857142857145,639.0,302259.0,302259.0
291,291,2020-12-12,6880127,43900,181123,686,43278.57142857143,642.1428571428571,302950.0,302950.0
292,292,2020-12-13,6901952,21825,181402,279,42630.28571428572,637.2857142857143,298412.0,298412.0
293,293,2020-12-14,6927145,25193,181835,433,43319.142857142855,645.4285714285714,303234.0,303234.0
