index,estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
9623,Rondônia,2020-06-07,8110.0,410,235,7,452.57142857142856,11.285714285714286,3168.0,79.0
9624,Rondônia,2020-06-08,8626.0,516,245,10,493.42857142857144,12.285714285714286,3454.0,86.0
9625,Rondônia,2020-06-09,9220.0,594,255,10,534.7142857142857,11.857142857142858,3743.0,83.0
9626,Rondônia,2020-06-10,9850.0,630,267,12,591.0,12.428571428571429,4137.0,87.0
9627,Rondônia,2020-06-11,10547.0,697,293,26,584.0,14.142857142857142,4088.0,99.0
9628,Rondônia,2020-06-12,11224.0,677,296,3,623.1428571428571,11.857142857142858,4362.0,83.0
9629,Rondônia,2020-06-13,11710.0,486,309,13,572.8571428571429,11.571428571428571,4010.0,81.0
9630,Rondônia,2020-06-14,11865.0,155,324,15,536.4285714285714,12.714285714285714,3755.0,89.0
9631,Rondônia,2020-06-15,12180.0,315,332,8,507.7142857142857,12.428571428571429,3554.0,87.0
9632,Rondônia,2020-06-16,13010.0,830,346,14,541.4285714285714,13.0,3790.0,91.0
9633,Rondônia,2020-06-17,13567.0,557,360,14,531.0,13.285714285714286,3717.0,93.0
9634,Rondônia,2020-06-18,13804.0,237,374,14,465.2857142857143,11.571428571428571,3257.0,81.0
9635,Rondônia,2020-06-19,14353.0,549,391,17,447.0,13.571428571428571,3129.0,95.0
9636,Rondônia,2020-06-20,14952.0,599,409,18,463.14285714285717,14.285714285714286,3242.0,100.0
9637,Rondônia,2020-06-21,15181.0,229,417,8,473.7142857142857,13.285714285714286,3316.0,93.0
9638,Rondônia,2020-06-22,15827.0,646,431,14,521.0,14.142857142857142,3647.0,99.0
9639,Rondônia,2020-06-23,16498.0,671,444,13,498.2857142857143,14.0,3488.0,98.0
9640,Rondônia,2020-06-24,17424.0,926,455,11,551.0,13.571428571428571,3857.0,95.0
9641,Rondônia,2020-06-25,18173.0,749,467,12,624.1428571428571,13.285714285714286,4369.0,93.0
9642,Rondônia,2020-06-26,19271.0,1098,476,9,702.5714285714286,12.142857142857142,4918.0,85.0
9643,Rondônia,2020-06-27,19271.0,0,476,0,617.0,9.571428571428571,4319.0,67.0
9644,Rondônia,2020-06-28,19820.0,549,486,10,662.7142857142857,9.857142857142858,4639.0,69.0
9645,Rondônia,2020-06-29,20406.0,586,500,14,654.1428571428571,9.857142857142858,4579.0,69.0
9646,Rondônia,2020-06-30,21251.0,845,518,18,679.0,10.571428571428571,4753.0,74.0
9647,Rondônia,2020-07-01,21462.0,211,520,2,576.8571428571429,9.285714285714286,4038.0,65.0
9648,Rondônia,2020-07-02,21970.0,508,530,10,542.4285714285714,9.0,3797.0,63.0
9649,Rondônia,2020-07-03,22241.0,271,533,3,424.2857142857143,8.142857142857142,2970.0,57.0
9650,Rondônia,2020-07-04,22957.0,716,548,15,526.5714285714286,10.285714285714286,3686.0,72.0
9651,Rondônia,2020-07-05,23479.0,522,555,7,522.7142857142857,9.857142857142858,3659.0,69.0
9652,Rondônia,2020-07-06,23921.0,442,558,3,502.14285714285717,8.285714285714286,3515.0,58.0
9653,Rondônia,2020-07-07,24564.0,643,577,19,473.2857142857143,8.428571428571429,3313.0,59.0
9654,Rondônia,2020-07-08,25067.0,503,585,8,515.0,9.285714285714286,3605.0,65.0
9655,Rondônia,2020-07-09,25402.0,335,589,4,490.2857142857143,8.428571428571429,3432.0,59.0
9656,Rondônia,2020-07-10,26000.0,598,605,16,537.0,10.285714285714286,3759.0,72.0
9657,Rondônia,2020-07-11,26496.0,496,617,12,505.57142857142856,9.857142857142858,3539.0,69.0
9658,Rondônia,2020-07-12,26728.0,232,628,11,464.14285714285717,10.428571428571429,3249.0,73.0
9659,Rondônia,2020-07-13,27050.0,322,647,19,447.0,12.714285714285714,3129.0,89.0
9660,Rondônia,2020-07-14,27528.0,478,663,16,423.42857142857144,12.285714285714286,2964.0,86.0
9661,Rondônia,2020-07-15,27917.0,389,668,5,407.14285714285717,11.857142857142858,2850.0,83.0
9662,Rondônia,2020-07-16,28654.0,737,677,9,464.57142857142856,12.571428571428571,3252.0,88.0
9663,Rondônia,2020-07-17,29117.0,463,686,9,445.2857142857143,11.571428571428571,3117.0,81.0
9664,Rondônia,2020-07-18,29117.0,0,686,0,374.42857142857144,9.857142857142858,2621.0,69.0
9665,Rondônia,2020-07-19,29117.0,0,686,0,341.2857142857143,8.285714285714286,2389.0,58.0
9666,Rondônia,2020-07-20,29801.0,684,710,24,393.0,9.0,2751.0,63.0
9667,Rondônia,2020-07-21,30642.0,841,727,17,444.85714285714283,9.142857142857142,3114.0,64.0
9668,Rondônia,2020-07-22,32935.0,2293,758,31,716.8571428571429,12.857142857142858,5018.0,90.0
9669,Rondônia,2020-07-23,34080.0,1145,784,26,775.1428571428571,15.285714285714286,5426.0,107.0
9670,Rondônia,2020-07-24,34873.0,793,801,17,822.2857142857143,16.428571428571427,5756.0,115.0
9671,Rondônia,2020-07-25,35573.0,700,810,9,922.2857142857143,17.714285714285715,6456.0,124.0
9672,Rondônia,2020-07-26,35810.0,237,814,4,956.1428571428571,18.285714285714285,6693.0,128.0
9673,Rondônia,2020-07-27,36148.0,338,830,16,906.7142857142857,17.142857142857142,6347.0,120.0
9674,Rondônia,2020-07-28,36849.0,701,840,10,886.7142857142857,16.142857142857142,6207.0,113.0
9675,Rondônia,2020-07-29,37634.0,785,855,15,671.2857142857143,13.857142857142858,4699.0,97.0
9676,Rondônia,2020-07-30,38407.0,773,864,9,618.1428571428571,11.428571428571429,4327.0,80.0
9677,Rondônia,2020-07-31,38992.0,585,872,8,588.4285714285714,10.142857142857142,4119.0,71.0
9678,Rondônia,2020-08-01,39504.0,512,881,9,561.5714285714286,10.142857142857142,3931.0,71.0
9679,Rondônia,2020-08-02,39893.0,389,884,3,583.2857142857143,10.0,4083.0,70.0
9680,Rondônia,2020-08-03,40016.0,123,888,4,552.5714285714286,8.285714285714286,3868.0,58.0
9681,Rondônia,2020-08-04,41239.0,1223,898,10,627.1428571428571,8.285714285714286,4390.0,58.0
9682,Rondônia,2020-08-05,42020.0,781,918,20,626.5714285714286,9.0,4386.0,63.0
9683,Rondônia,2020-08-06,42725.0,705,923,5,616.8571428571429,8.428571428571429,4318.0,59.0
9684,Rondônia,2020-08-07,43390.0,665,934,11,628.2857142857143,8.857142857142858,4398.0,62.0
9685,Rondônia,2020-08-08,43866.0,476,940,6,623.1428571428571,8.428571428571429,4362.0,59.0
9686,Rondônia,2020-08-09,44010.0,144,943,3,588.1428571428571,8.428571428571429,4117.0,59.0
9687,Rondônia,2020-08-10,44372.0,362,944,1,622.2857142857143,8.0,4356.0,56.0
9688,Rondônia,2020-08-11,45468.0,1096,966,22,604.1428571428571,9.714285714285714,4229.0,68.0
9689,Rondônia,2020-08-12,46061.0,593,981,15,577.2857142857143,9.0,4041.0,63.0
9690,Rondônia,2020-08-13,46676.0,615,993,12,564.4285714285714,10.0,3951.0,70.0
9691,Rondônia,2020-08-14,47288.0,612,1001,8,556.8571428571429,9.571428571428571,3898.0,67.0
9692,Rondônia,2020-08-15,47652.0,364,1012,11,540.8571428571429,10.285714285714286,3786.0,72.0
9693,Rondônia,2020-08-16,47837.0,185,1013,1,546.7142857142857,10.0,3827.0,70.0
9694,Rondônia,2020-08-17,48232.0,395,1017,4,551.4285714285714,10.428571428571429,3860.0,73.0
9695,Rondônia,2020-08-18,48923.0,691,1026,9,493.57142857142856,8.571428571428571,3455.0,60.0
9696,Rondônia,2020-08-19,49721.0,798,1037,11,522.8571428571429,8.0,3660.0,56.0
9697,Rondônia,2020-08-20,50147.0,426,1045,8,495.85714285714283,7.428571428571429,3471.0,52.0
9698,Rondônia,2020-08-21,50514.0,367,1050,5,460.85714285714283,7.0,3226.0,49.0
9699,Rondônia,2020-08-22,50995.0,481,1061,11,477.57142857142856,7.0,3343.0,49.0
9700,Rondônia,2020-08-23,51421.0,426,1065,4,512.0,7.428571428571429,3584.0,52.0
9701,Rondônia,2020-08-24,51791.0,370,1073,8,508.42857142857144,8.0,3559.0,56.0
9702,Rondônia,2020-08-25,52514.0,723,1087,14,513.0,8.714285714285714,3591.0,61.0
9703,Rondônia,2020-08-26,53119.0,605,1100,13,485.42857142857144,9.0,3398.0,63.0
9704,Rondônia,2020-08-27,53805.0,686,1109,9,522.5714285714286,9.142857142857142,3658.0,64.0
9705,Rondônia,2020-08-28,54205.0,400,1114,5,527.2857142857143,9.142857142857142,3691.0,64.0
9706,Rondônia,2020-08-29,54496.0,291,1125,11,500.14285714285717,9.142857142857142,3501.0,64.0
9707,Rondônia,2020-08-30,54679.0,183,1129,4,465.42857142857144,9.142857142857142,3258.0,64.0
